Fee-Earnings reports from 01-01-2025 to 12-24-2025
ストア,商品名,ASIN,出品者,トラッキングID,発送日,価格,発送済み商品,返品済み商品,売上,紹介料率,紹介料,デバイスの種類
食品&飲料、グルメ,AGF(エージーエフ) ちょっと贅沢な珈琲店 ブラックインボックス スティックブラック 産地アソート 【 プチギフト 】【 スティックコーヒー 詰め合わせ 】【ブラジル・ブレンド、モカ・ブレンド各15本、コロンビア・ブレンド、キリマンジャロ・ブレンド各10本】 50個 (x 1),B07573V7WV,Amazon.co.jp,daily-gadget-22,2025-12-21 00:00:00,1775.00,1,0,1775.0,8.00,142.00,TABLET
食品&飲料、グルメ,伊藤園 おーいお茶 ほうじ茶 1.8g×50袋 エコティーバッグ,B0CG1CY4HK,Amazon.co.jp,daily-gadget-22,2025-12-21 00:00:00,605.00,3,0,1815.0,7.93,144.00,TABLET
食品&飲料、グルメ,AGF(エージーエフ) ちょっと贅沢な珈琲店 ブラックインボックス スティックブラック 産地アソート 【 プチギフト 】【 スティックコーヒー 詰め合わせ 】【ブラジル・ブレンド、モカ・ブレンド各15本、コロンビア・ブレンド、キリマンジャロ・ブレンド各10本】 50個 (x 1),B07573V7WV,Amazon.co.jp,daily-gadget-22,2025-12-21 00:00:00,1775.00,1,0,1775.0,8.00,142.00,TABLET
キッチン&ダイニング,木製 コーヒー マドラー 使い捨て 14cm 600本 業務用,B0G385YRN4,3rd Party,daily-gadget-22,2025-12-21 00:00:00,1345.00,1,0,1345.0,2.01,27.00,TABLET
ビューティー&グルーミング,MARO(マーロ) 3Dボリュームアップシャンプー ジェントルミントの香り 詰替え用 760ml 【Amazon.co.jp限定】,B07X8P5943,Amazon.co.jp,daily-gadget-22,2025-12-21 00:00:00,1492.00,1,0,1492.0,5.03,75.00,PHONE
ヘルスケア&家庭用品,ジェクス グラマラスバタフライ ホット1000 12個入り,B000NI31RI,Amazon.co.jp,daily-gadget-22,2025-12-21 00:00:00,429.00,1,0,429.0,4.90,21.00,PHONE
ヘルスケア&家庭用品,ジェクスコンドーム グラマラスバタフライ モイストタイプ 12個入,B000NI1486,Amazon.co.jp,daily-gadget-22,2025-12-21 00:00:00,427.00,1,0,427.0,4.92,21.00,PHONE
キッチン&ダイニング,タイガー魔法瓶 炊飯器 1升 ロングセラー 黒遠赤厚釜 マイコン 調理メニュー付き 炊きたて ホワイト JBH-G181W,B01H10F2D6,Amazon.co.jp,daily-gadget-22,2025-12-21 00:00:00,8764.00,1,0,8764.0,2.00,175.00,TABLET
ホーム,山崎実業(Yamazaki) 【 石こうボードピンセット・木ネジ 付属 】 石こうボード壁対応 ウォールドライヤーホルダー ホワイト 約W16×D9.3×H11.8cm タワー tower ドライヤー収納 コードもまとめて収納 4508,B0CC8MF1Z8,Amazon.co.jp,daily-gadget-22,2025-12-21 00:00:00,1551.00,1,0,1551.0,3.03,47.00,PHONE
ホーム,山崎実業(Yamazaki) 【石こうボードピンセット・木ネジ 付属】 ウォール ヘアーアイロンホルダー 石こうボード壁対応 ホワイト W5.5×D6×H13.7cm タワー tower 壁面収納 ヘアアイロン収納 1345,B0DZNBFDPB,Amazon.co.jp,daily-gadget-22,2025-12-21 00:00:00,1427.00,1,0,1427.0,3.01,43.00,PHONE
スポーツ&フィットネス,リバウンドネット Rebound NET リバウンドネット BLACK 103X89X72cm サッカー フットサル リフティング 野球 バレーボール テニス 練習 トレーニング 自主練 室内 屋外兼用 リバウンダー,B0CDTSFL9Q,3rd Party,daily-gadget-22,2025-12-21 00:00:00,3627.00,1,0,3627.0,4.00,145.00,PHONE
スポーツ&フィットネス,CICINELL バランスボード 木製 体幹 トレーニング アスレチック 軽量 大人 室内遊び こども 小学生 遊具 フィットネス ヨガ 子供用 おもちゃ 木育 プレゼント (ナチュラル),B0BH54DF59,3rd Party,daily-gadget-22,2025-12-21 00:00:00,3618.00,1,0,3618.0,4.01,145.00,PHONE
ビューティー&グルーミング,トランシーノ 【医薬部外品】 薬用ホワイトニングスティック 5.3ｇ ホワイトニングスティック 美白 美容液 トラネキサム酸 配合 保湿 シミ ケア,B09PB6NRQM,Amazon.co.jp,daily-gadget-22,2025-12-21 00:00:00,2602.00,1,0,2602.0,5.00,130.00,PHONE
テレビゲーム,ドンキーコング バナンザ -Switch2,B0F5WYBM6L,Amazon.co.jp,daily-gadget-22,2025-12-21 00:00:00,6886.00,1,0,6886.0,2.00,138.00,PHONE
